ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
1,AR-5381,,,,Adjustable Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
2,BA-8327,,,,Bearing Ball,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
3,BE-2349,,,,BB Ball Bearing,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
4,BE-2908,,,,Headset Ball Bearings,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
5,BL-2036,,,,Blade,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
6,CA-5965,,,,LL Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,L ,,,,,,,,,,,,7/1/2003 0:00,,Current
7,CA-6738,,,,ML Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,M ,,,,,,,,,,,,7/1/2003 0:00,,Current
8,CA-7457,,,,HL Crankarm,,,,FALSE,Black,500,375,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
9,CB-2903,,,,Chainring Bolts,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
10,CN-6137,,,,Chainring Nut,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
11,CR-7833,,,,Chainring,,,,FALSE,Black,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
12,CR-9981,,,,Crown Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
13,CS-2812,,,,Chain Stays,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
14,DC-8732,,,,Decal 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
15,DC-9824,,,,Decal 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
16,DT-2377,,,,Down Tube,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
17,EC-M092,,,,Mountain End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
18,EC-R098,,,,Road End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
19,EC-T209,,,,Touring End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
20,FE-3760,,,,Fork End,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
21,FH-2981,,,,Freewheel,,,,FALSE,Silver,500,375,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
22,FW-1000,,,,Flat Washer 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
23,FW-1200,,,,Flat Washer 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
24,FW-1400,,,,Flat Washer 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
25,FW-3400,,,,Flat Washer 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
26,FW-3800,,,,Flat Washer 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
27,FW-5160,,,,Flat Washer 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
28,FW-5800,,,,Flat Washer 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
29,FW-7160,,,,Flat Washer 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
30,FW-9160,,,,Flat Washer 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
31,FC-3654,,,,Fork Crown,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
32,FC-3982,,,,Front Derailleur Cage,,,,FALSE,Silver,800,600,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
33,FL-2301,,,,Front Derailleur Linkage,,,,FALSE,Silver,800,600,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
34,GP-0982,,,,Guide Pulley,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
35,GT-0820,,,,LL Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,L ,,,,,,,,,,,,7/1/2003 0:00,,Current
36,GT-1209,,,,ML Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,M ,,,,,,,,,,,,7/1/2003 0:00,,Current
37,GT-2908,,,,HL Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,7/1/2003 0:00,,Current
